appeared the in beer, ae
of total the elsewhere, sw
cardiff brains by in, aib
an the urinals said, isrd
from in every it's, reon
of ceramic forever the, ieof
vulcan became the creation, crbv
hello world, def
district it projects make, it
make whitmore district newtown, ikd
refurbished its with received, hsdw
drink the labour in, dn
which the building original, gdol
the opened the though, tn
how are you, abc
surviving green urinals make, ir
newtown were drink creation, to
make inside the neighbourhood, aset
were bikers cheap historic, ipe
said are adamsdown full, sm
it rebuilt saturday local, ir
many of tiles substantially, ao
time the the newtown, he
irish the cardiff and, et
interior local throughout these, ielt
to building an urinals, dg
forever to williams the, hsef
are you there, are
building the ceramic building, rbtn
the of drink it, ieof
original time veall saturday, al
division and during lunchtime, iv
the the examples the, peth
inside vulcan building refurbished, relf
was ceramic and full, cl
the in better received, ie
hi codeeval, eval
the cardiff building a, ial
the for was the, hef
vulcan a which adam, am
